trajectoryid sensorid imageid epoch_s image_name x_m y_m z_m rx_rad ry_rad rz_rad
17134 110040 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 0.000000 0.000000 0.510400
17134 110041 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 -1.570796 0.000000 0.510400
17134 110042 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 -1.570796 0.000000 2.081196
17134 110043 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 -1.570796 0.000000 3.651992
17134 110044 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 -1.570796 0.000000 5.222789
17134 110045 88721997 290186.05 WE1MRDH1.jpg 4054.885 347507.382 8.966 -3.141593 0.000000 0.510400
17134 110040 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 0.000000 0.000000 0.501617
17134 110041 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 -1.570796 0.000000 0.501617
17134 110042 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 -1.570796 0.000000 2.072414
17134 110043 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 -1.570796 0.000000 3.643210
17134 110044 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 -1.570796 0.000000 5.214006
17134 110045 88721999 290187.1 WE1MRDH3.jpg 4057.788 347512.660 8.912 -3.141593 0.000000 0.501617
17134 110040 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 0.000000 0.000000 0.497875
17134 110041 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 -1.570796 0.000000 0.497875
17134 110042 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 -1.570796 0.000000 2.068672
17134 110043 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 -1.570796 0.000000 3.639468
17134 110044 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 -1.570796 0.000000 5.210264
17134 110045 88722000 290187.57 WE1MRDH4.jpg 4059.240 347515.299 8.897 -3.141593 0.000000 0.497875
17134 110040 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 0.000000 0.000000 0.494942
17134 110041 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 -1.570796 0.000000 0.494942
17134 110042 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 -1.570796 0.000000 2.065738
17134 110043 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 -1.570796 0.000000 3.636534
17134 110044 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 -1.570796 0.000000 5.207331
17134 110045 88722001 290188.03 WE1MRDH5.jpg 4060.656 347517.964 8.921 -3.141593 0.000000 0.494942
17134 110040 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 0.000000 0.000000 0.492912
17134 110041 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 -1.570796 0.000000 0.492912
17134 110042 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 -1.570796 0.000000 2.063709
17134 110043 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 -1.570796 0.000000 3.634505
17134 110044 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 -1.570796 0.000000 5.205301
17134 110045 88722002 290188.47 WE1MRDH6.jpg 4062.060 347520.624 8.931 -3.141593 0.000000 0.492912
17134 110040 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 0.000000 0.000000 0.493610
17134 110041 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 -1.570796 0.000000 0.493610
17134 110042 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 -1.570796 0.000000 2.064406
17134 110043 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 -1.570796 0.000000 3.635202
17134 110044 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 -1.570796 0.000000 5.205999
17134 110045 88722003 290188.89 WE1MRDH7.jpg 4063.469 347523.276 8.943 -3.141593 0.000000 0.493610
17134 110040 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 0.000000 0.000000 0.490224
17134 110041 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 -1.570796 0.000000 0.490224
17134 110042 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 -1.570796 0.000000 2.061021
17134 110043 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 -1.570796 0.000000 3.631817
17134 110044 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 -1.570796 0.000000 5.202613
17134 110045 88722004 290189.32 WE1MRDH8.jpg 4064.869 347525.928 8.951 -3.141593 0.000000 0.490224
17134 110040 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 0.000000 0.000000 0.485786
17134 110041 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 -1.570796 0.000000 0.485786
17134 110042 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 -1.570796 0.000000 2.056582
17134 110043 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 -1.570796 0.000000 3.627378
17134 110044 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 -1.570796 0.000000 5.198175
17134 110045 88722005 290189.76 WE1MRDH9.jpg 4066.261 347528.588 8.959 -3.141593 0.000000 0.485786
17134 110040 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 0.000000 0.000000 0.481897
17134 110041 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 -1.570796 0.000000 0.481897
17134 110042 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 -1.570796 0.000000 2.052693
17134 110043 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 -1.570796 0.000000 3.623489
17134 110044 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 -1.570796 0.000000 5.194286
17134 110045 88722006 290190.19 WE1MRDHA.jpg 4067.630 347531.261 8.960 -3.141593 0.000000 0.481897
17134 110040 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 0.000000 0.000000 0.476473
17134 110041 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 -1.570796 0.000000 0.476473
17134 110042 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 -1.570796 0.000000 2.047269
17134 110043 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 -1.570796 0.000000 3.618065
17134 110044 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 -1.570796 0.000000 5.188862
17134 110045 88722007 290190.62 WE1MRDHB.jpg 4069.001 347533.929 8.963 -3.141593 0.000000 0.476473
17134 110040 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 0.000000 0.000000 0.481711
17134 110041 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 -1.570796 0.000000 0.481711
17134 110042 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 -1.570796 0.000000 2.052508
17134 110043 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 -1.570796 0.000000 3.623304
17134 110044 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 -1.570796 0.000000 5.194100
17134 110045 88722008 290191.04 WE1MRDHC.jpg 4070.362 347536.607 8.972 -3.141593 0.000000 0.481711
17134 110040 88722009 290191.46 WE1MRDHD.jpg 4071.766 347539.265 8.971 0.000000 0.000000 0.500871
17134 110041 88722009 290191.46 WE1MRDHD.jpg 4071.766 347539.265 8.971 -1.570796 0.000000 0.500871
